,No Data Processing,No Data Processing,No Data Processing,Using Normalization,Using Normalization,Using Normalization,Using Transform,Using Transform,Using Transform,Using PCA,Using PCA,Using PCA,Using T+N,Using T+N,Using T+N,T+N+PCA,T+N+PCA,T+N+PCA
,c=1,c=2,c=3,c=1,c=2,c=3,c=1,c=2,c=3,c=1,c=2,c=3,c=1,c=2,c=3,c=1,c=2,c=3
Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters,Parameters
Silhouette,NA,0.66,0.56,NA,0.27,0.28,NA,0.26,0.29,NA,0.66,0.56,NA,0.26,0.29,NA,0.39,0.46
Calinski-Harabasz,NA,483,553,NA,65,68,NA,63,69,NA,483,553,NA,63,69,NA,114,169
Davies-Bouldin,NA,0.46,0.54,NA,1.41,1.42,NA,1.47,1.39,NA,0.46,0.54,NA,1.47,1.39,NA,0.94,0.84
